source_sectors,n
"Human Rights NGOs,Ideological,Far Right,Nongovernmental Organizations / Activists",2
"Human Rights NGOs,Legal,Nongovernmental Organizations / Activists,Social",2
"Human Rights NGOs,National Ethnic Majority,Separatists,Social,International Religious,National Ethnic,Sunni,Dissident,Nongovernmental Organizations / Activists",2
"Human Rights NGOs,National Ethnic Minority,Social,Other Central American Indigenous,Maya,Ethnic NGOs,Nongovernmental Organizations / Activists,National Ethnic,International Ethnic",2
"Human Rights NGOs,Nongovernmental Organization (International),Protestors / Popular Opposition / Mobs,Human Rights IGOs,Dissident,Nongovernmental Organizations / Activists",2
"Human Rights NGOs,Nongovernmental Organizations / Activists,Dissident,International Religious,Protestors / Popular Opposition / Mobs,Buddhist",2
"Human Rights NGOs,Nongovernmental Organizations / Activists,Refugees / Displaced NGOs",2
"Human Rights NGOs,Social,Elections Ministry,Nongovernmental Organizations / Activists,Government,Executive,Legal",2
"Hutu,Dissident,International Ethnic,Insurgents",2
"Hutu,Executive Office,Elite,Executive,Government,International Ethnic",2
"Hutu,Rebel,Dissident,International Ethnic",2
"Ideological,Business,Center Left,Social,Consulting / Financial Services Business",2
"Ideological,Business,Consulting / Financial Services Business,Center Left,Social",2
"Ideological,Catholic,Dissident,International Religious,Insurgents,Center Left",2
"Ideological,Center Left,Elite",2
"Ideological,Center Left,Elite,Government,Cabinet,Executive Office,Protestant,Defense / Security Ministry,International Religious,Executive",2
"Ideological,Center Left,Elite,Protestant,Executive,Government,Cabinet,International Religious",2
"Ideological,Center Left,Government,Executive,Executive Office,Elite",2
"Ideological,Center Left,International Religious,Insurgents,Dissident,Catholic",2
"Ideological,Center Left,International Religious,Protestant,Cabinet,Defense / Security Ministry,Executive,Government,Executive Office,Elite",2
"Ideological,Center Right,Defense / Security Ministry,Government,Executive",2
"Ideological,Center Right,Government,Executive,Foreign Ministry",2
"Ideological,Center Right,Government,Legislative / Parliamentary,Unicameral",2
"Ideological,Center Right,Legislative / Parliamentary,Provincial,Municipal,Local,Elite,Government,Upper House",2
"Ideological,Center Right,Media,News,Print News,Social,Print Entertainment,Entertainment",2
"Ideological,Center Right,News,Print News,Regional Diplomatic IGOs,Media,International Government Organization,Social,Regional",2
"Ideological,Centrist,Executive,Government,Defense / Security Ministry",2
"Ideological,Centrist,Foreign Ministry,Executive,Government,Executive Office",2
"Ideological,Centrist,Government,Lower House,Legislative / Parliamentary,Elite",2
"Ideological,Centrist,Social,News,Print News,Media",2
"Ideological,Communist,Exiles,Dissident,Insurgents",2
"Ideological,Defense / Security Ministry,Executive,Far Left,Government",2
"Ideological,Dissident,Far Left,Radicals / Extremists / Fundamentalists,Communist",2
"Ideological,Dissident,Insurgents,Elite,Nationalist",2
"Ideological,Dissident,Insurgents,Far Right",2
"Ideological,Dissident,Insurgents,Sunni,Fundamentalist,Muslim,International Religious",2
"Ideological,Dissident,International Radicals / Extremists / Fundamentalists,International Religious,Insurgents,Radicals / Extremists / Fundamentalists,Sunni,Fundamentalist,International Dissident,International Insurgents",2
"Ideological,Dissident,Nationalist,Far Right,Separatists",2
"Ideological,Dissident,Protestors / Popular Opposition / Mobs,Nationalist",2
"Ideological,Dissident,Radicals / Extremists / Fundamentalists,Communist",2
"Ideological,Dissident,Radicals / Extremists / Fundamentalists,Far Left,Communist",2
"Ideological,Dissident,Shia,Insurgents,Fundamentalist,International Religious",2
"Ideological,Elections Ministry,Executive,Government,Centrist",2
"Ideological,Elections Ministry,Government,Executive,Centrist",2
"Ideological,Elite,Centrist,Government",2
"Ideological,Elite,Centrist,Government,Lower House,Legislative / Parliamentary",2
"Ideological,Elite,Far Right",2
"Ideological,Elite,International Religious,Fundamentalist,Insurgents,Sunni,Dissident",2
"Ideological,Elite,Nationalist,Insurgents,Dissident",2
"Ideological,Executive,Executive Office,Government,Centrist",2
"Ideological,Executive,Foreign Ministry,Communist,Government",2
"Ideological,Executive,Government,Centrist,Defense / Security Ministry",2
"Ideological,Executive,Government,Defense / Security Ministry,Far Left",2
"Ideological,Executive,International Government Organization,Elite,Executive Office,Government,Nationalist,Global,Global Economic/Financial/Trade IGOs",2
"Ideological,Far Left,Elite",2
"Ideological,Far Left,Executive,Government,Defense / Security Ministry",2
"Ideological,Far Left,Social,News,Print News,Media",2
"Ideological,Far Right,Nationalist,International Religious,Dissident,Radicals / Extremists / Fundamentalists,Hindu",2
"Ideological,Finance / Economy / Commerce / Trade Ministry,Cabinet,Government,Executive,Center Right",2
"Ideological,Foreign Ministry,Executive,Centrist,Government,Executive Office",2
"Ideological,Fundamentalist,Dissident,Insurgents,Sunni,International Religious",2
"Ideological,Government,Elite,Centrist",2
"Ideological,Government,Elite,Executive,Executive Office,Center Right",2
"Ideological,Government,Executive Office,Executive,Women / Children / Social / Welfare / Development / Religion Ministry,Centrist",2
"Ideological,Government,Executive,Centrist,Interior / Home Ministry",2
"Ideological,Government,Nationalist,Executive,Interior / Home Ministry",2
"Ideological,Government,Nationalist,Military,Tajik,International Ethnic",2
"Ideological,Government,Unicameral,Legislative / Parliamentary,Far Left",2
"Ideological,Hindu,Dissident,Radicals / Extremists / Fundamentalists,Far Right,Nationalist,International Religious",2
"Ideological,Hindu,Dissident,Radicals / Extremists / Fundamentalists,Nationalist,International Religious,Far Right",2
"Ideological,Hindu,Radicals / Extremists / Fundamentalists,International Religious,Dissident,Far Right,Nationalist",2
"Ideological,Information / Communication / Transparency NGOs,Center Right,Nongovernmental Organizations / Activists",2
"Ideological,Insurgents,Center Left,Dissident",2
"Ideological,Insurgents,Dissident,International Religious,Fundamentalist,Elite,Sunni",2
"Ideological,Insurgents,Dissident,Nationalist,Elite",2
"Ideological,Insurgents,Elite,Dissident,Nationalist,International Ethnic,Pashtun",2
"Ideological,Insurgents,International Religious,Fundamentalist,Dissident,Sunni",2
"Ideological,International Ethnic,Dissident,Elite,Insurgents,Tajik,Nationalist",2
"Ideological,International Ethnic,Dissident,Nationalist,Separatists,Kurd (Ethnic Group)",2
"Ideological,International Government Organization,Social,Regional Diplomatic IGOs,News,Far Left,Print News,Media,Regional",2
"Ideological,International Religious,Dissident,Fundamentalist,Insurgents,Sunni",2
"Ideological,International Religious,Dissident,Insurgents,Catholic,Center Left,Elite",2
"Ideological,International Religious,Dissident,Insurgents,Muslim,Fundamentalist",2
"Ideological,International Religious,Dissident,Insurgents,Shia,Nationalist",2
"Ideological,International Religious,Dissident,Sunni,Fundamentalist,Radicals / Extremists / Fundamentalists",2
"Ideological,International Religious,Far Left,Dissident,Shia,Social,Organized Violent,National Religious",2
"Ideological,International Religious,Fundamentalist,Insurgents,Dissident,Sunni",2
"Ideological,International Religious,International Dissident,Sunni,International Insurgents,Fundamentalist,Muslim,Radicals / Extremists / Fundamentalists,Insurgents,Dissident,International Radicals / Extremists / Fundamentalists",2
"Ideological,International Religious,Radicals / Extremists / Fundamentalists,International Dissident,Fundamentalist,Sunni,Muslim,International Radicals / Extremists / Fundamentalists,Dissident,Insurgents,International Insurgents",2
"Ideological,International Religious,Sunni,Muslim,Fundamentalist,Dissident,Insurgents",2
"Ideological,Lower House,Elite,Government,Legislative / Parliamentary,Centrist",2
"Ideological,Lower House,Government,Center Left,Legislative / Parliamentary",2
"Ideological,Lower House,Legislative / Parliamentary,Government,Local,Far Right,Municipal,Elite",2
"Ideological,Media,Far Left,News,Print News,Social",2
"Ideological,Media,Far Left,Social,News,Print News",2
"Ideological,Media,News,Far Right,Social",2
"Ideological,Media,Print News,News,Social,Centrist",2
"Ideological,Muslim,Dissident,Insurgents,Fundamentalist,International Religious",2
"Ideological,Muslim,Insurgents,Dissident,Fundamentalist,International Religious",2
"Ideological,News,Media,Far Right,Social",2
"Ideological,News,Media,Print News,Far Left,Social",2
"Ideological,Print News,Media,News,Center Right,Social",2
"Ideological,Radicals / Extremists / Fundamentalists,Communist,Far Left,Dissident",2
"Ideological,Radicals / Extremists / Fundamentalists,Far Left,Communist,Dissident",2
"Ideological,Radicals / Extremists / Fundamentalists,Far Left,Dissident,Communist",2
"Ideological,Shia,Fundamentalist,International Religious,Insurgents,Dissident",2
"Ideological,Social,Center Left,News,Media,Print News",2
"Ideological,Social,Far Left,Print News,News,Media",2
"Ideological,Social,Far Right,News,Media",2
"Ideological,Social,Fundamentalist,National Religious",2
"Ideological,Social,News,Print News,Center Left,Media",2
"Ideological,Social,Print News,News,Media,Far Right",2
"Ideological,Sunni,Dissident,Muslim,Insurgents,Fundamentalist,International Religious",2
"Ideological,Sunni,Elite,International Religious,Fundamentalist,Dissident,Insurgents",2
"Ideological,Sunni,Muslim,Dissident,Radicals / Extremists / Fundamentalists,International Radicals / Extremists / Fundamentalists,Insurgents,Fundamentalist,International Dissident,International Insurgents,International Religious",2
"Ideological,Tajik,Dissident,Nationalist,Insurgents,International Ethnic",2
"Ideological,Tajik,International Ethnic,Elite,Nationalist,Insurgents,Dissident",2
"Ideological,Unidentified Forces,International Ethnic,Tajik,Nationalist",2
"Ijaw,Elite,Executive,Executive Office,Government,International Ethnic",2
"Ijaw,Elite,Government,Executive Office,International Ethnic,Executive",2
"Ijaw,International Government Organization,Regional Economic/Financial/Trade IGOs,Regional,International Ethnic,Elite,Executive Office,Executive,Government",2
"Ijaw,Provincial,Local,Elite,Government,International Ethnic",2
"Industrial / Textiles / Mining Ministry,Cabinet,Executive,Finance / Economy / Commerce / Trade Ministry,Government",2
"Industrial / Textiles / Mining Ministry,Cabinet,Government,Executive",2
"Industrial / Textiles / Mining Ministry,Elite,Cabinet,Executive,Government",2
"Industrial / Textiles / Mining Ministry,Elite,Executive,Government",2
"Industrial / Textiles / Mining Ministry,Elite,Finance / Economy / Commerce / Trade Ministry,Government,Executive",2
"Industrial / Textiles / Mining Ministry,Energy Ministry,Executive,Government",2
"Industrial / Textiles / Mining Ministry,Executive,Army Special Forces,Army,Military,Military Intelligence,Cabinet,Government",2
"Industrial / Textiles / Mining Ministry,Executive,Cabinet,Elite,Finance / Economy / Commerce / Trade Ministry,Government",2
"Industrial / Textiles / Mining Ministry,Executive,Cabinet,Energy Ministry,Government",2
"Industrial / Textiles / Mining Ministry,Executive,Cabinet,Government,Finance / Economy / Commerce / Trade Ministry,Elite",2
"Industrial / Textiles / Mining Ministry,Executive,Elite,Government,Cabinet",2
"Industrial / Textiles / Mining Ministry,Executive,Finance / Economy / Commerce / Trade Ministry,Cabinet,Elite,Government",2
"Industrial / Textiles / Mining Ministry,Executive,Government,Cabinet,Finance / Economy / Commerce / Trade Ministry",2
"Industrial / Textiles / Mining Ministry,Executive,Government,Finance / Economy / Commerce / Trade Ministry,Cabinet",2
"Industrial / Textiles / Mining Ministry,Government,Cabinet,Executive,Elite",2
"Industrial / Textiles / Mining Ministry,Government,Cabinet,Executive,Energy Ministry",2
"Industrial / Textiles / Mining Ministry,Government,Cabinet,Executive,Legislative / Parliamentary,Lower House",2
"Industrial / Textiles / Mining Ministry,Government,Cabinet,Executive,Legislative / Parliamentary,Lower House,Finance / Economy / Commerce / Trade Ministry",2
"Industrial / Textiles / Mining Ministry,Government,Cabinet,Finance / Economy / Commerce / Trade Ministry,Executive",2
"Industrial / Textiles / Mining Ministry,Government,Energy Ministry,Executive",2
"Industrial / Textiles / Mining Ministry,Government,Executive,Cabinet,Energy Ministry",2
"Industrial / Textiles / Mining Ministry,Government,Executive,Finance / Economy / Commerce / Trade Ministry,Cabinet",2
"Industrial / Textiles / Mining Ministry,Government,Executive,Legislative / Parliamentary,Unicameral,Energy Ministry",2
"Industrial / Textiles / Mining Ministry,Government,Legislative / Parliamentary,Lower House,Finance / Economy / Commerce / Trade Ministry,Cabinet,Executive",2
"Industrial / Textiles / Mining Ministry,International Religious,Shia,Executive,Cabinet,Government",2
"Industrial / Textiles / Mining Ministry,Lower House,Government,Legislative / Parliamentary,Executive,Cabinet",2
"Industrial / Textiles / Mining Ministry,Shia,Government,Executive,Cabinet,International Religious",2
"Information / Communication / Transparency IGOs,Nongovernmental Organization (International),Elite",2
"Information / Communication / Transparency Ministry,Army,Military,Government,Executive",2
"Information / Communication / Transparency Ministry,Defense / Security Ministry,Government,Executive",2
"Information / Communication / Transparency Ministry,Executive,Cabinet,Global Diplomatic IGOs,International Government Organization,Global,Energy Ministry,Government",2
"Information / Communication / Transparency Ministry,Government,Cabinet,Executive,Elite",2
"Information / Communication / Transparency Ministry,Government,Cabinet,Executive,Finance / Economy / Commerce / Trade Ministry",2
"Information / Communication / Transparency Ministry,Government,Cabinet,Executive,Interior / Home Ministry",2
"Information / Communication / Transparency Ministry,Government,Executive,Executive Office,Elite",2
"Information / Communication / Transparency Ministry,Government,Executive,Industrial / Textiles / Mining Ministry",2
"Information / Communication / Transparency Ministry,Government,Interior / Home Ministry,Cabinet,Executive",2
"Information / Communication / Transparency Ministry,News,Media,Television News,Government,Social,State Media,Executive",2
"Information / Communication / Transparency Ministry,Social,Executive,State Media,Government,Print News,News,Media",2
"Information / Communication / Transparency Ministry,Social,State Media,Executive,Government,Media,News,Television News",2
"Information / Communication / Transparency Ministry,Social,State Media,Government,Executive,News,Media",2
"Information / Communication / Transparency Ministry,Social,State Media,Media,Executive,Government",2
"Information / Communication / Transparency Ministry,Social,State Media,Media,Government,Executive",2
"Information / Communication / Transparency Ministry,Social,State Media,News,Government,Television News,Executive,Media",2
"Information / Communication / Transparency Ministry,Social,State Media,News,Media,Print News,Executive,Government",2
"Information / Communication / Transparency Ministry,Social,State Media,News,Media,Television News,Executive,Government",2
"Information / Communication / Transparency Ministry,State Media,Executive,Executive Office,Government",2
"Information / Communication / Transparency Ministry,State Media,Executive,Government,Executive Office",2
"Information / Communication / Transparency Ministry,State Media,Executive,News,Media,Government,Radio News,Social",2
"Information / Communication / Transparency Ministry,State Media,Government,Executive Office,Executive",2
"Information / Communication / Transparency Ministry,State Media,Legislative / Parliamentary,Executive,Executive Office,Government",2
"Information / Communication / Transparency Ministry,State Media,Legislative / Parliamentary,Executive,Government,Executive Office",2
"Information / Communication / Transparency Ministry,State Media,Media,News,Print News,Social,Executive,Government",2
"Information / Communication / Transparency Ministry,State Media,News,Media,Executive,Television News,Social,Government",2
"Information / Communication / Transparency Ministry,State Media,News,Media,Government,Executive,Social",2
"Information / Communication / Transparency Ministry,State Media,Television News,News,Media,Executive,Government,Social",2
"Information / Communication / Transparency Ministry,State Media,Television News,Social,Executive,Government,News,Media",2
"Information / Communication / Transparency Ministry,State Media,Women / Children / Social / Welfare / Development / Religion Ministry,Executive,Cabinet,Government",2
"Information / Communication / Transparency Ministry,Television News,Social,News,Executive,State Media,Media,Government",2
"Information / Communication / Transparency NGOs,Center Right,Nongovernmental Organizations / Activists,Ideological",2
"Information / Communication / Transparency NGOs,Nongovernmental Organizations / Activists,Ideological,Center Right",2
"Information / Communication / Transparency NGOs,Protestors / Popular Opposition / Mobs,Nongovernmental Organizations / Activists,Dissident",2
"Insurgents,Catholic,Dissident,International Religious,Center Left,Ideological",2
"Insurgents,Dissident,Far Right,Ideological",2
"Insurgents,Dissident,Fundamentalist,Sunni,Ideological,Muslim,International Religious",2
"Insurgents,Dissident,Ideological,Center Left",2
"Insurgents,Dissident,International Dissident,Fundamentalist,International Religious,Ideological,Sunni,Radicals / Extremists / Fundamentalists,International Insurgents,International Radicals / Extremists / Fundamentalists,Muslim",2
"Insurgents,Dissident,International Dissident,International Insurgents,Fundamentalist,Sunni,Ideological,International Religious,Muslim,Radicals / Extremists / Fundamentalists,International Radicals / Extremists / Fundamentalists",2
"Insurgents,Dissident,International Religious,Fundamentalist,Elite,Ideological,Sunni",2
"Insurgents,Dissident,International Religious,Fundamentalist,Ideological,International Radicals / Extremists / Fundamentalists,Sunni,International Dissident,International Insurgents,Radicals / Extremists / Fundamentalists,Muslim",2
"Insurgents,Dissident,International Religious,Fundamentalist,Ideological,Muslim",2
"Insurgents,Dissident,International Religious,Fundamentalist,Ideological,Sunni,Muslim",2
"Insurgents,Dissident,International Religious,Fundamentalist,Sunni,Ideological,Elite",2
"Insurgents,Dissident,International Religious,Ideological,Fundamentalist,Sunni",2
"Insurgents,Dissident,International Religious,Shia,Fundamentalist,Ideological",2
"Insurgents,Dissident,Kashmiri,International Ethnic,International Religious,Muslim,Separatists",2
"Insurgents,Dissident,Muslim,International Religious,Ideological,Fundamentalist",2
"Insurgents,Dissident,Muslim,Kashmiri,International Religious,Separatists,International Ethnic",2
"Insurgents,Dissident,Muslim,Separatists,International Religious,International Ethnic,Kashmiri",2
"Insurgents,Dissident,Muslim,Separatists,Kashmiri,International Ethnic,International Religious",2
"Insurgents,Dissident,Tajik,Ideological,Elite,Nationalist,International Ethnic",2
"Insurgents,Dissident,Unidentified Forces,Ideological,Far Right",2
"Insurgents,Elite,Ideological,Dissident,International Religious,Fundamentalist,Sunni",2
"Insurgents,Fundamentalist,Dissident,International Religious,Sunni,Muslim,Ideological",2
"Insurgents,Fundamentalist,Ideological,Dissident",2
"Insurgents,Fundamentalist,International Religious,Dissident,Sunni,Ideological",2
"Insurgents,Ideological,Dissident,Sunni,Fundamentalist,International Religious",2
"Insurgents,Ideological,Muslim,Dissident,Fundamentalist,International Religious",2
"Insurgents,Ideological,Sunni,Dissident,International Religious,Fundamentalist",2
"Insurgents,International Ethnic,Dissident,Hutu",2
"Insurgents,International Religious,Ideological,Dissident,Fundamentalist,Muslim",2
"Insurgents,International Religious,Radicals / Extremists / Fundamentalists,Hindu,Dissident",2
"Insurgents,International Religious,Shia,Dissident",2
"Insurgents,Mandingoe,Social,International Ethnic,Dissident,National Ethnic",2
"Insurgents,Muslim,Dissident,Separatists,International Religious,Kashmiri,International Ethnic",2
"Insurgents,Muslim,Fundamentalist,International Religious,Dissident,Ideological",2
"Insurgents,Muslim,International Religious,Sunni,Ideological,Dissident,Fundamentalist",2
"Insurgents,Regional,Ideological,Dissident,Regional Diplomatic IGOs,International Government Organization,Communist",2
"Insurgents,Social,Dissident,Education",2
"Insurgents,Sunni,Dissident,International Religious,Fundamentalist,Ideological",2
"Insurgents,Unidentified Forces,Ideological,Far Right,Dissident",2
"Intelligence Ministry,Defense / Security Ministry,Executive,Government,Interior / Home Ministry",2
"Intelligence Ministry,Elite,Government,Executive",2
"Intelligence Ministry,Executive,Defense / Security Ministry,Government,Legislative / Parliamentary",2
"Intelligence Ministry,Executive,Defense / Security Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Government",2
"Intelligence Ministry,Executive,Government,Defense / Security Ministry,Legislative / Parliamentary",2
"Intelligence Ministry,Executive,Government,Defense / Security Ministry,Women / Children / Social / Welfare / Development / Religion Ministry",2
"Intelligence Ministry,Government,Defense / Security Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Executive",2
"Intelligence Ministry,Government,Executive,Foreign Ministry",2
"Intelligence Ministry,Government,Sunni,Executive,International Religious",2
"Intelligence Ministry,Government,Women / Children / Social / Welfare / Development / Religion Ministry,Executive,Defense / Security Ministry",2
"Intelligence Ministry,International Religious,Government,Executive,Sunni",2
"Intelligence Ministry,Police,National / Border Divisions,Government,Cabinet,Executive",2
"Interior / Home Ministry,Army Special Forces,Army,Government,Cabinet,Executive,Military Intelligence,Military",2
"Interior / Home Ministry,Cabinet,Government,Military,Military Intelligence,Executive,Army Special Forces,Army",2
"Interior / Home Ministry,Defense / Security Ministry,Cabinet,Executive,Government",2
"Interior / Home Ministry,Disaster Ministry,Executive,Government",2
"Interior / Home Ministry,Education,Intelligence Ministry,Cabinet,Executive,Social,Government,Elite",2
"Interior / Home Ministry,Education,Intelligence Ministry,Government,Executive,Cabinet,Executive Office,Social,Elite",2
"Interior / Home Ministry,Elite,Defense / Security Ministry,Executive,Executive Office,Government,Orthodox,International Religious",2
"Interior / Home Ministry,Elite,Executive Office,Government,Legislative / Parliamentary,Lower House,Cabinet,Executive",2
"Interior / Home Ministry,Elite,Executive,Cabinet,Government",2
"Interior / Home Ministry,Elite,Executive,Provincial,Local,Cabinet,Government,Legislative / Parliamentary,Lower House,Unicameral",2
"Interior / Home Ministry,Elite,International Government Organization,Executive,Government,Regional,Regional Diplomatic IGOs",2
"Interior / Home Ministry,Elite,Local,Provincial,Cabinet,Legislative / Parliamentary,Executive,Government,Unicameral,Lower House",2
"Interior / Home Ministry,Elite,Lower House,Executive Office,Legislative / Parliamentary,Cabinet,Executive,Government",2
"Interior / Home Ministry,Elite,Lower House,Legislative / Parliamentary,Executive,Government,Cabinet",2
"Interior / Home Ministry,Elite,Social,Intelligence Ministry,Executive Office,Executive,Cabinet,Education,Government",2
"Interior / Home Ministry,Executive,Drugs Ministry,Government",2
"Interior / Home Ministry,Executive,Government,Cabinet,Legislative / Parliamentary,Lower House",2
"Interior / Home Ministry,Executive,Government,Disaster Ministry",2
"Interior / Home Ministry,Executive,Government,Justice / Law Ministry",2
"Interior / Home Ministry,Executive,Government,Legislative / Parliamentary,Cabinet,Lower House,Elite",2
"Interior / Home Ministry,Executive,Government,Military",2
"Interior / Home Ministry,Executive,Government,Police,National / Border Divisions",2
"Interior / Home Ministry,Executive,Police,Defense / Security Ministry,Government",2
"Interior / Home Ministry,Government,Army,Army Special Forces,Cabinet,Military Intelligence,Military,Executive",2
"Interior / Home Ministry,Government,Cabinet,Army Special Forces,Executive,Army,Military Intelligence,Military",2
"Interior / Home Ministry,Government,Cabinet,Executive,Defense / Security Ministry,Tajik,International Ethnic",2
"Interior / Home Ministry,Government,Cabinet,Executive,Lower House,Legislative / Parliamentary",2
"Interior / Home Ministry,Government,Drugs Ministry,Executive",2
"Interior / Home Ministry,Government,Elite,Executive Office,Cabinet,Executive",2
"Interior / Home Ministry,Government,Executive Office,Cabinet,Executive,Elite",2
"Interior / Home Ministry,Government,Executive Office,Elite,Executive,Orthodox,International Religious,Defense / Security Ministry",2
"Interior / Home Ministry,Government,Executive Office,Executive",2
"Interior / Home Ministry,Government,Executive,Cabinet,Information / Communication / Transparency Ministry",2
"Interior / Home Ministry,Government,Executive,Defense / Security Ministry,Intelligence Ministry",2
"Interior / Home Ministry,Government,Executive,Executive Office,Elite",2
"Interior / Home Ministry,Government,Executive,Information / Communication / Transparency Ministry",2
"Interior / Home Ministry,Government,Executive,Legislative / Parliamentary,Cabinet,Information / Communication / Transparency Ministry,Upper House",2
"Interior / Home Ministry,Government,Executive,Unicameral,Legislative / Parliamentary",2
"Interior / Home Ministry,Government,Lower House,Cabinet,Legislative / Parliamentary,Executive",2
"Interior / Home Ministry,Government,Lower House,Executive,Cabinet,Legislative / Parliamentary,Elite",2
"Interior / Home Ministry,Government,Police,Executive,Defense / Security Ministry",2
"Interior / Home Ministry,International Ethnic,Executive,Cabinet,Unidentified Forces,Government,Other Sub-Saharan African",2
"Interior / Home Ministry,International Government Organization,Regional Diplomatic IGOs,Regional,Government,Executive",2
"Interior / Home Ministry,International Government Organization,Regional,Government,Executive,Regional Diplomatic IGOs",2
"Interior / Home Ministry,International Religious,Elite,Orthodox,Defense / Security Ministry,Executive,Government,Executive Office",2
"Interior / Home Ministry,International Religious,Executive,Government,Executive Office,Defense / Security Ministry,Orthodox,Elite",2
"Interior / Home Ministry,Justice / Law Ministry,Cabinet,Executive,Government",2
"Interior / Home Ministry,Legislative / Parliamentary,Executive,Government,Unicameral",2
"Interior / Home Ministry,Legislative / Parliamentary,Information / Communication / Transparency Ministry,Government,Executive,Lower House",2
"Interior / Home Ministry,Legislative / Parliamentary,Justice / Law Ministry,Nongovernmental Organizations / Activists,Executive,Government",2
"Interior / Home Ministry,Legislative / Parliamentary,Lower House,Government,Cabinet,Executive",2
"Interior / Home Ministry,Nongovernmental Organizations / Activists,Justice / Law Ministry,Government,Cabinet,Legislative / Parliamentary,Executive",2
"Interior / Home Ministry,Orthodox,Defense / Security Ministry,International Religious,Executive Office,Executive,Government,Elite",2
"Interior / Home Ministry,Police,Defense / Security Ministry,Executive,Government",2
"Interior / Home Ministry,Regional Diplomatic IGOs,Government,Regional,International Government Organization,Executive",2
"Interior / Home Ministry,Regional Diplomatic IGOs,International Government Organization,Regional,Government,Executive",2
"Interior / Home Ministry,Regional,Government,Regional Diplomatic IGOs,International Government Organization,Executive",2
"Interior / Home Ministry,Regional,International Government Organization,Government,Executive,Regional Diplomatic IGOs",2
"Interior / Home Ministry,Regional,Regional Diplomatic IGOs,Government,International Government Organization,Executive",2
"Interior / Home Ministry,Unicameral,Legislative / Parliamentary,Executive,Cabinet,Government",2
"Interior / Home Ministry,Women / Children / Social / Welfare / Development / Religion Ministry,Executive,Government",2
"International Dissident,Insurgents,Dissident,Sunni,Muslim,International Religious,International Insurgents",2
"International Dissident,International Insurgents,International Religious,Dissident,Insurgents,Muslim,Sunni",2
"International Dissident,International Insurgents,Sunni,Ideological,International Religious,Radicals / Extremists / Fundamentalists,Fundamentalist,International Radicals / Extremists / Fundamentalists,Muslim,Dissident,Insurgents",2
"International Dissident,International Rebels,Dissident,Organized Violent",2
"International Dissident,International Religious,Muslim,Dissident,Radicals / Extremists / Fundamentalists,International Insurgents,Insurgents,Ideological,Sunni,International Radicals / Extremists / Fundamentalists,Fundamentalist",2
"International Dissident,International Terrorists,Dissident,Muslim,International Religious,Organized Violent",2
"International Dissident,Muslim,International Religious,Insurgents,Dissident,Sunni,International Insurgents",2
"International Ethnic,Afar,National Ethnic Minority,Social,National Ethnic",2
"International Ethnic,Assyrian / Aramaic,Criminals / Gangs,International Religious,Catholic,Dissident",2
"International Ethnic,Bantu, Gikuyu-Kamba,Executive,Bantu,National Ethnic,Environment Ministry,Social,Government,Justice / Law Ministry,Tourism Ministry,Elite",2
"International Ethnic,Cabinet,Military,Executive,Government,Defense / Security Ministry,Nubian,Army",2
"International Ethnic,Cabinet,Pashtun,Finance / Economy / Commerce / Trade Ministry,Executive,Government",2
"International Ethnic,Chechen,Dissident,Sunni,Social,International Religious,Separatists,National Ethnic,National Ethnic Minority",2
"International Ethnic,Chechen,Social,International Religious,National Ethnic,Sufi,National Ethnic Minority",2
"International Ethnic,Development NGOs,Global Economic/Financial/Trade IGOs,Pashtun,Government,Nongovernmental Organizations / Activists,Executive Office,International Religious,Global,International Government Organization,Muslim,Executive,Global Development IGOs",2
"International Ethnic,Dissident,Afar,Insurgents",2
"International Ethnic,Dissident,Ijaw,Separatists,International Religious,Muslim",2
"International Ethnic,Dissident,International Religious,Kashmiri,Separatists,Insurgents,Muslim",2
"International Ethnic,Dissident,Kashmiri,International Religious,Muslim,Protestors / Popular Opposition / Mobs",2
"International Ethnic,Dissident,Kurd (Ethnic Group),Protestors / Popular Opposition / Mobs",2
"International Ethnic,Dissident,Mande,National Ethnic,Afro-American,Criminals / Gangs,Exiles,Social,Elite",2
"International Ethnic,Dissident,National Ethnic,Separatists,Chechen,Social,National Ethnic Minority,Exiles",2
"International Ethnic,Dissident,Rebel,Hutu",2
"International Ethnic,Dissident,Separatists,International Religious,National Ethnic,Social,Sufi,National Ethnic Minority,Chechen",2
"International Ethnic,Dissident,Separatists,Muslim,International Religious,Chechen",2
"International Ethnic,Dissident,Separatists,National Ethnic Minority,Social,Chechen,International Religious,National Ethnic,Muslim",2
"International Ethnic,Dissident,Social,Separatists,International Religious,National Ethnic,National Ethnic Minority,Sufi,Chechen",2
"International Ethnic,Elite,Afro-American,Mande,Social,Dissident,National Ethnic,Criminals / Gangs",2
"International Ethnic,Elite,Chechen,Government",2
"International Ethnic,Elite,Government,Cabinet,Defense / Security Ministry,Executive,Pashtun",2
"International Ethnic,Elite,Government,Pashtun,Cabinet,Defense / Security Ministry,Executive",2
"International Ethnic,Elite,Government,Tibetan",2
"International Ethnic,Elite,Pashtun",2
"International Ethnic,Elite,Pashtun,Government",2
"International Ethnic,Executive Office,Ijaw,Elite,Government,Executive",2
"International Ethnic,Executive,Cabinet,Finance / Economy / Commerce / Trade Ministry,Pashtun,Government",2
