crisno,sentence_number_int_aligned,sentence_number_int_aligned_groupmethod,sentence1,sentence2,sentence3,sentence4
403,34,33,"The UN--moderating the fighting in Bosnia through its United Nations Protection Force (UNPROFOR) peacekeepers; reducing the suffering of civilians by designating exposed cities like Sarajevo, Bosnia's capital, ""safe areas,"" and by as large and steady a supply of food and medicine to Bosnia's civilians as the Bosnian Serbs permitted; and seeking a peaceful solution of the conflict through economic sanctions--against the rump of Yugoslavia--and diplomacy, notably comprehensive peace plans by special representatives of the Secretary-General NATO--providing limited military support for UNPROFOR peacekeepers when necessary, through symbolic air strikes against the Bosnian Serbs, and verbal threats of retaliation",,,
403,35,33,"The EU--reliance on diplomacy, complementing that of the UN, to bring the parties to the bargaining table, exercised through an EU mediator, endless visits by foreign ministers of major European powers and others to all the actors, and cooperation with the U.S. and Russia through the ""Contact Group,"" comprising the five major powers (Since this pattern of behavior is evident throughout the Yugoslavia II crisis, the rest of this case summary will concentrate on escalation points and crucial developments.)",,,
403,36,33,On 28 April 1992 the UN decided to extend its peacekeeping operation in Yugoslavia (UNPROFOR) to Bosnia-Hercegovina.,,,
403,37,34,"On 22 May Bosnia, Croatia, and Slovenia were admitted to the UN.","On 22 May Bosnia, Croatia, and Slovenia were admitted to the UN.",,
403,38,35,"On the 30th the Security Council adopted Resolution 757, imposing comprehensive sanctions on the Federal Republic of Yugoslavia, comprising Serbia and Montenegro.","On the 30th the Security Council adopted Resolution 757, imposing comprehensive sanctions on the Federal Republic of Yugoslavia (FRY), comprising Serbia and Montenegro.",,
403,39,36,"These included the severance of sports, cultural, and air links with the rest of the world; freezing government assets abroad, and an oil embargo.","These included the severance of sports, cultural, and air links with the rest of the world; freezing government assets abroad, and an oil embargo.",,
403,40,37,"On 20 June Bosnia declared a state of war and general mobilization -- five days after Bosnian President Izetbegovic and Croatian President Tudjman signed an agreement of friendship and cooperation, including military cooperation, ""against the common enemy.""","On 20 June Bosnia declared a state of war and general mobilization--five days after Bosnian President Izetbegovic and Croatian President Tudjman signed an agreement of friendship and cooperation, including military cooperation, ""against the common enemy.""",,
403,41,38,As the war continued Bosnia's government repeatedly requested foreign military aid -- but the embargo on arms remains in force.,As the war continued Bosnia's government repeatedly requested foreign military aid--but the embargo on arms remains in force.,,
403,42,39,"The U.S. Congress favored lifting the embargo; the EU, notably the U.K. and France, was steadfastly opposed.","The U.S. Congress favored lifting the embargo; the EU, notably the U.K. and France, was steadfastly opposed.",,
403,43,40,"As violence continued, amid horrific reports in the summer of 1992 of grave human rights violations, the UN Security Council and the UN Human Rights Commission strongly condemned the policy of forced deportation.","As violence continued, amid horrific reports in the summer of 1992 of grave human rights violations, the UN Security Council and the UN Human Rights Commission strongly condemned the policy of forced deportation.",,
403,44,41,"Under the impact of intense media coverage of Bosnian Serb ""ethnic cleansing,"" France, the U.K., Italy, Spain, and Belgium committed troops to a UN peacekeeping force.","Under the impact of intense media coverage of Bosnian Serb ""ethnic cleansing,"" France, the U.K., Italy, Spain, and Belgium committed troops to a UN peacekeeping force.",,
403,45,42,"Representatives of 20 states, including the six former republics of Yugoslavia, EU members, the five permanent members of the UN Security Council, and members of the CSCE met in London on 26-27 August 1992.","Representatives of 20 states, including the six former republics of Yugoslavia, EU members, the five permanent members of the UN Security Council, and members of the CSCE met in London on 26-27 August 1992.",,
403,46,43,"The first of several futile efforts at ""public crisis management,"" the conference condemned the expulsion of civilians.","The first of several futile efforts at ""public crisis management,"" the conference condemned the expulsion of civilians.",,
403,47,44,"It also agreed on terms for a political settlement, including recognition of Bosnia by the other five Yugoslav republics, acceptance of present frontiers, guarantees for national minorities, and the right of return for those who were expelled from their homes.","It also agreed on terms for a political settlement, including recognition of Bosnia by the other five Yugoslav republics, acceptance of present frontiers, guarantees for national minorities, and the right of return for those who were expelled from their homes.",,
403,48,45,And it supported the idea of a UN peacekeeping force.,And it supported the idea of a UN peacekeeping force.,,
403,49,46,"A follow-up ""permanent"" conference on Yugoslavia in Geneva began on 3 September.","A follow-up ""permanent"" conference on Yugoslavia in Geneva began on 3 September.",,
403,50,47,"Following the Iraq precedent, a UN Security Council resolution on 9 October 1992 banned military flights over Bosnia, to be enforced by UNPROFOR. Notwithstanding Croatia's military cooperation agreement with Bosnia, Croat forces in Bosnia took control of Mostar on 25 October and declared it the capital of the Croatian Community of Herceg-Bosnia.","Following the Iraq precedent (see <a href=""javascript:select_crisis(406)"">Case #406--Iraq No-Fly Zone</a>, in Iraq/Kuwait PC), a UN Security Council resolution on 9 October 1992 banned military flights over Bosnia, to be enforced by UNPROFOR. Notwithstanding Croatia's military cooperation agreement with Bosnia, Croat forces in Bosnia took control of Mostar on 25 October and declared it the capital of the Croatian Community of Herceg-Bosnia.",,
403,51,48,"In a seemingly endless quest for a viable diplomatic formula, the Geneva Conference, on 20 October, formally rejected the division of Bosnia into three ethnic republics.",,"In a seemingly endless quest for a viable diplomatic formula, the Geneva Conference, on 20 October, formally rejected the division of Bosnia into three ethnic republics.",
403,52,49,"Instead it presented a plan for a decentralized republic, based on several regional governments and a central government in Sarajevo, responsible for foreign policy, defense, and trade.",,"Instead it presented a plan for a decentralized republic, based on several regional governments and a central government in Sarajevo, responsible for foreign policy, defense, and trade.",
403,53,50,"Early in January 1993 the two principal mediators, Lord Owen, presented a comprehensive and complex three-part peace plan to the Geneva Conference on Yugoslavia: territorial provisions, calling for the reorganization of Bosnia into 10 provinces, with an attached map; constitutional principles, providing much autonomy to the provinces; and a military section, including a cease-fire and demilitarization.",,"Early in January 1993 the two principal mediators, Lord Owen (for the EU) and Cyrus Vance (for the UN), presented a comprehensive and complex three-part peace plan to the Geneva Conference on Yugoslavia: territorial provisions, calling for the reorganization of Bosnia into 10 provinces, with an attached map; constitutional principles, providing much autonomy to the provinces; and a military section, including a cease-fire and demilitarization.",
403,54,51,"The Bosnian Serb leader, Radovan Karadzic, rejected the proposals, demanding the right of the Serbs to self-determination in a separate ""state within a state.","The Bosnian Serb leader, Radovan Karadzic, rejected the proposals, demanding the right of the Serbs to self-determination in a separate ""state within a state."" Bosnia's President Izetbegovic rejected the territorial section of the plan.",,
403,55,51,""" Bosnia's President Izetbegovic rejected the territorial section of the plan.",,,
403,56,52,"And the Bosnian Croat leader, Boban, accepted the plan in full.",,"And the Bosnian Croat leader, Boban, accepted the plan in full.",
403,57,53,"Under strong pressure from Serbia's President Slobodan Milosevic, the Bosnian Serb Assembly voted in favor of the principles of the plan on 19-20 January.",,"Under strong pressure from Serbia's President Slobodan Milosevic, the Bosnian Serb Assembly voted in favor of the principles of the plan on 19-20 January.",
403,58,54,All three parties tried to increase their control over territory before a peace agreement was signed.,,All three parties tried to increase their control over territory before a peace agreement was signed.,
403,59,55,Thus fighting escalated in the second half of January.,,Thus fighting escalated in the second half of January.,
403,60,56,President Izetbegovic of Bosnia formally approved the military provisions of the Vance-Owen plan on 2 February and the all-important territorial section on the 25th.,,President Izetbegovic of Bosnia formally approved the military provisions of the Vance-Owen plan on 2 February and the all-important territorial section on the 25th.,
403,61,57,Only the Bosnian Serbs were adamant: on 25-26 April the Bosnian Serb Assembly rejected the proposed map.,,Only the Bosnian Serbs were adamant: on 25-26 April the Bosnian Serb Assembly rejected the proposed map.,
403,62,58,"The FRY Foreign Minister, Vladislav Jovanovic, was sent to persuade the Serbs to accept the plan, in vain.",,"The FRY Foreign Minister, Vladislav Jovanovic, was sent to persuade the Serbs to accept the plan, in vain.",
403,63,59,The Bosnian Serbs were universally condemned.,,The Bosnian Serbs were universally condemned.,
403,64,60,"However, a cease-fire was accepted by all sides on 27 March 1993, allowing a relief convoy to enter Srebrenica.",,"However, a cease-fire was accepted by all sides on 27 March 1993, allowing a relief convoy to enter Srebrenica.",
403,65,61,On 27 April President Yeltsin warned the Bosnian Serbs that Russia would not protect them as long as they rejected the Vance-Owen plan.,,On 27 April President Yeltsin warned the Bosnian Serbs that Russia would not protect them as long as they rejected the Vance-Owen plan.,
403,66,62,Croatia was warned by Western states in May that sanctions against Serbia would be lifted if it continued to support the Bosnian Croat forces.,,Croatia was warned by Western states in May that sanctions against Serbia would be lifted if it continued to support the Bosnian Croat forces.,
403,67,63,"Meanwhile, Serb attacks continued against Bosnian Muslim areas.",,"Meanwhile, Serb attacks continued against Bosnian Muslim areas.",
403,68,64,"The UN Security Council adopted Resolution 824 on 6 May 1993, declaring Sarajevo and five other towns ""safe-areas,"" banning any armed attacks on them: Gorazde, Srebrenica, Tuzla, Zepa in the east, Bihac in the north.",,"The UN Security Council adopted Resolution 824 on 6 May 1993, declaring Sarajevo and five other towns ""safe-areas,"" banning any armed attacks on them: Gorazde, Srebrenica, Tuzla, Zepa in the east, Bihac in the north.",
403,69,65,"On 4 June the Security Council adopted Resolution 836, authorizing UNPROFOR to use force in cases of attacks against the six ""safe areas"" in Bosnia.",,"On 4 June the Security Council adopted Resolution 836, authorizing UNPROFOR to use force in cases of attacks against the six ""safe areas"" in Bosnia.",
403,70,66,,,"Typical of Croat maneuvering between the other two warring parties was an agreement by Presidents Milosevic (Serbia) and Tudjman (Croatia), announced to the Geneva Conference on 26 June 1993, to divide Bosnia into three ethnic states within a loose confederal Union of Republics of Bosnia-Hercegovina.",
403,71,67,,,"Izetbegovic rejected the plan; but on 30 July he indicated acceptance, with reservations.",
403,72,68,,,Bosnian Muslims renewed their rejection of the Vance-Owen map at the end of August.,
403,73,69,,,"And in September and October 1993 the Bosnian Assembly, the Bosnian Croat Assembly, and the Bosnian Serb Parliament all rejected the plan to partition Bosnia into three republics.",
403,74,70,,,The impasse on the Vance-Owen peace plan continued.,
403,75,71,,,"So too did the fighting, including the Bosnian Serb siege of Sarajevo and frequent attacks on ""safe areas""; the impotence of UNPROFOR, based upon the extreme caution of all the major powers; their consensus against military intervention to end the fighting in Bosnia; U.S. verbal support of Bosnia; Russian attempts to shield Serbia and the Bosnian Serbs from more extreme UN-EU-NATO measures; the U.S.-EU disagreement on the arms embargo; UN resolutions, usually ignored; and cease-fire agreements, another in August 1993, violated sooner rather than later by one side or another.",
403,76,72,,,"The plan for a ""Union of Three Republics"" was discussed at another international conference on Bosnia in Geneva at the end of November-early December 1993.",
403,77,73,,,"Efforts were made to persuade the Bosnian Serbs to give up part of the land they controlled (approximately 70 percent of Bosnia's territory), in order to increase the size of the Muslim republic to about one-third of Bosnia's territory, mostly in central Bosnia, with several enclaves in the east.",
403,78,74,,,"In return, the EC offered to lift the sanctions against Serbia gradually.",
403,79,75,,,"Karadzic offered some territory--in exchange for the partition of Sarajevo into two cities, to be incorporated into the planned Muslim and Serb republics.",
403,80,76,,,"Izetbegovic had two major concerns: the security of the new borders, for which he demanded a five-year NATO guarantee; and an outlet to the Adriatic Sea, at the port of Neum.",
403,81,77,,,"In the absence of assurances on both points, he rejected the plan on 21 December.",
403,82,78,,,One of the most shocking assaults on civilians occurred on 5 February 1994: a mortar bomb hit the main market of Sarajevo and killed dozens of civilians.,
403,83,79,,,"Outraged Western leaders called for ""the immediate lifting of the siege of Sarajevo by all means necessary, including air power.""",
403,84,80,,,The response was swift.,
403,85,81,,,On the 9th NATO declared that it would execute immediately any future UN request for air strikes in Bosnia.,
403,86,82,,,"Moreover, NATO ambassadors gave the Bosnian Serbs an ultimatum: withdraw or hand over to UN control all heavy weapons in the ""safe areas"" by midnight, 20-21 February, or face air strikes.",
403,87,83,,,"The large-scale withdrawal of Serb heavy weapons began on 17 February, following an unexpected Russian intervention--an offer to replace the withdrawing Serb soldiers with 800 Russian troops; the first 400 Russians reached Sarajevo on the 20th.",
403,88,84,,,"And on 28 February NATO aircraft first enforced the ""no-fly zone"" over Bosnia, shooting down four Soko G-4 aircraft.",
403,89,85,,,"Another shift in Croatia's zigzag policy and the convoluted diplomacy of the Bosnia crisis occurred on 8 March: agreements were signed in Washington to create a federation of Muslim- and Croat-controlled territory in Bosnia, to be divided into cantons on the Swiss model, and to form in the near future a Bosnia-Croatia confederation.",
403,90,86,,,A constitution for the Bosnia federation and plans for a unified Croat-Muslim army in Bosnia were approved at simultaneous conferences in Vienna and Split from 4-8 March.,
403,91,87,,,"While the federation and confederation formally came into existence, none of these agreements altered the course of the crisis.",
403,92,88,,,"The Bosnian Serb Assembly, invited to join the Bosnia federation, declined on 24 March.",
403,93,89,,,"A cease-fire agreement in June 1994 between the new Bosnian Federation of Muslims and Croats, and the Bosnian Serbs, lasted a month.",
403,94,90,,,Among the major powers there were profound disagreements on policy toward Bosnia.,
403,95,91,,,Both the U.S. and Russia steadfastly refused to contribute any ground forces to UNPROFOR; but they differed substantially on many issues.,
403,96,92,,,"The U.S. favored lifting the arms embargo, in order to ""level the fighting field"" between Bosnia and the Bosnian Serbs.",
403,97,93,,,"It urged the adoption of a policy of ""preventive bombardment"" of Serb positions (which the U.K. and France, as well as Russia, opposed).",
403,98,94,,,The U.S. argued that sanctions against Serbia should be tightened and that the no-fly zone should be enforced by a Security Council resolution.,
403,99,95,,,"Russia, traditionally pro-Serb, supported the Vance-Owen peace plan and the international peacekeeping force.",
403,100,96,,,"However, it opposed the imposition of more sanctions against Serbia.",
403,101,97,,,,"The West, too, was split over policy toward the Bosnia crisis."
403,102,98,,,,The U.S. was the most militant--verbally; the Europeans were cautious in word and deed.
403,103,99,,,,The U.S. Congress persistently urged the lifting of the UN arms embargo (and voted in favor of a unilateral U.S. termination of the embargo in July 1995).
403,104,100,,,,"However, both presidents--Bush and Clinton--while favoring the policy, refused to act in direct conflict with the U.K. and France, NATO and the EU, especially since they bore the brunt of the peacekeeping operation on the ground, with thousands of troops, while the U.S. refused to participate in UNPROFOR."
403,105,101,,,,"The Europeans, except for Germany, claimed that lifting the arms embargo would enlarge the scope and intensity of the war, with unpredictable and, almost certainly, dire consequences."
403,106,102,,,,"The U.S. was also much more activist on the issue of NATO air strikes against the Bosnian Serbs, designed to increase pressure on them to desist from more ""ethnic cleansing,"" blocking food shipments to UN ""safe areas,"" and attacks on UN peacekeepers."
403,107,103,,,,The air strikes almost always had momentary--or negative--results.
403,108,104,,,,"(On one occasion, in June 1995, the Bosnian Serbs retaliated by taking several hundred UNPROFOR hostages in response to a U.S.-initiated NATO air strike.)"
403,109,105,,,,"(In August 1995, the Yugoslavia II crisis escalated dramatically when the Croatian army, in a lightning three-day campaign, regained control of Krajina, the Serb majority area of Croatia, bordering on Serbia and Bosnia."
403,110,106,,,,"Yugoslavia [Serbia] did not intervene, despite the forced exodus [""ethnic cleansing""] by Croatia of 150,000 Serb refugees to Serbia proper.)"
403,111,107,,,,"(Another major escalation of the crisis-war over Bosnia was the Bosnian Serb capture of two UN ""safe areas,"" Srebrenica and Zepa, on 11 and 25 July, followed by the massing of Bosnian Serb forces near Gorazde; the tightening of the Bosnian Serb siege of Sarajevo; and on 28 August, a shelling of a crowded market in the capital with 37 killed and 80 wounded, recalling a similar incident in February 1994, when 68 people were killed and more than 200 wounded."
403,112,108,,,,"The effect of these escalation points was the first direct NATO military intervention, in the form of massive air attacks against Bosnian Serb positions at the beginning of September."
403,113,109,,,,"That, in turn, was the catalyst to a renewed, intense, diplomatic process, leading to an agreed ""Statement of  Basic Principles"" by the three warring parties on 8 September and a 21-day conference (1-21 November) at Dayton, Ohio, among the presidents of Bosnia, Croatia, and Serbia under U.S. auspices.)"
403,114,110,,,,"The Dayton Accord, signed by all the parties including the now fully involved United States, on 21 November 1995, was a complex agreement with the following main provisions: (1) a division of territory between the Bosnian-Croat Federation (51 percent) and the autonomous Serb entity, the republic of Srpska (49 percent); (2) a constitution comprising a central government for Bosnia as a whole with a three-person group presidency, a two-house legislature, a court, and a central bank; and separate presidencies, legislatures, and armies for each of the two entities within Bosnia; (3) the mutual withdrawal of forces by both entities behind agreed cease-fire lines; and (4) the dispatch of a peacekeeping NATO force of 60,000 under U.S. command to monitor the cease-fire and control the airspace over Bosnia."
403,115,111,,,,"Despite strong Bosnian Serb opposition ""on the ground""--President Milosevic of Serbia negotiated on their behalf--the Dayton Accord marked the end of Bosnia's crisis--on 21 November 1995."
403,116,112,,,,"(The formal peace agreement was signed in Paris on 14 December by the presidents of Bosnia-Hercegovina, Croatia, and Serbia, in the symbolically important presence of the leaders of the Contact Group--France, Germany, Russia, the U.K., the U.S.--and Spain's Premier, then head of the European Union."
403,117,113,,,,"Almost immediately after, the UN Security Council terminated the peacekeeping role of its UNPROFOR and authorized the dispatch of a NATO force of 60,000 troops to implement the withdrawal provisions of the Dayton Accord and to maintain peace in Bosnia."
403,118,114,,,,"All of the military provisions, including withdrawal of troops, were implemented in 1996, meeting the stipulated deadlines."
403,119,115,,,,"The record on the civilian aspects of the Dayton Accord was mixed; but the elections for the central government of Bosnia-Hercegovina and its two constituent autonomous units were held, as planned, on 14 September 1996.)"
407,1,1,The newly independent state of Georgia experienced a crisis with Russia from 25 September 1992 to 8 October 1993 during its prolonged civil war against a separatist movement in Abkhazia.,,,
407,2,2,BackgroundThe origins of Georgia can be traced to the first millennium b.c.e.,,,
407,3,3,"However, its modern history began in 1800 when, in response to an appeal by the last king of Georgia for support against Persia, it was annexed by Russia.",,,
407,4,4,It was ruled until the end of World War I as an outlying province of the empire.,,,
407,5,5,"The collapse of czarist Russia and the turmoil accompanying the Bolshevik Revolution provided Georgia -- and its Caucasian neighbors, Armenia and Azerbaijan -- a ""window of opportunity.""",,,
407,6,6,"The result was a short-lived independence, from April 1918 to February 1921, until the armies of the new Bolshevik regime established control over Transcaucasia.",,,
407,7,7,"In March 1922 Georgia, Armenia, and Azerbaijan were merged into the Transcaucasian Soviet Socialist Republic and became a part of the USSR.",,,
407,8,8,"In 1936, under the ""Stalin Constitution,"" they became ""independent"" republics of the Soviet Union.",,,
407,9,9,"Pre-crisisWith the dissolution of the USSR at the end of 1991, Georgia, along with Armenia and Azerbaijan, became an independent state.",,,
407,10,10,Abkhazia was an autonomous province in the northern part of Georgia near the border with the post-Soviet Russian Republic.,,,
407,11,11,"The democratically elected first president of Georgia, Zviad Gamsakhurdia, a Georgian nationalist, was forced into exile in January 1992 by a rebellion led by former communists.",,,
407,12,12,"Eduard Shevardnadze, the former Soviet Foreign Minister -- and a former colonel in the KGB -- became president.",,,
407,13,13,"Abkhazians, a distinctive ethnic group within Georgia, live mainly in the autonomous republics of Abkhazia and Adzarya, in which the port cities of Sukhumi and Batumi, Georgia's largest Black Sea harbors, are located.",,,
407,14,14,Abkhazian leaders demanded secession -- the anti-Georgia movement in Abkhazia began its campaign against Georgia as early as 1977 but was suppressed by Soviet power.,,,
407,15,15,"After the disintegration of the Soviet Union and the emergence of Georgia as a sovereign state, the long-standing low-intensity conflict within Georgia burst into a full-scale civil war, in which Russia supported the Abkhazians.",,,
407,16,16,Fighting began in August 1992 between Georgian troops and Abkhaz separatists.,,,
407,17,17,Gamsakhurdia saw the eruption of war as an opportunity to return to power.,,,
407,18,18,"The civil war threatened to draw Russia into conflict with Georgia, which accused Russia of actively supporting the rebels in order to protect its interests in the North Caucasus and the Black Sea region in general.","The civil war threatened to draw Russia into conflict with Georgia, which accused Russia of actively supporting the rebels in order to protect its interests in the North Caucasus and the Black Sea region in general.",,
407,19,19,"Russia had a clear and stated goal of maintaining a strategic presence along Georgia's Black Sea coast, that is, a conception of Russia's ""rights"" in its neighboring ""new states"" as similar to those encompassed in the Brezhnev Doctrine.","Russia had a clear and stated goal of maintaining a strategic presence along Georgia's Black Sea coast, that is, a conception of Russia's ""rights"" in its neighboring ""new states"" as similar to those encompassed in the Brezhnev Doctrine (see <a href=""javascript:select_crisis(227)"">Case #227--Prague Spring</a>, in 1968, in Europe: Non-PCs).",,
407,20,20,"To Russia's nationalists and military, who were thought to be behind the Russian involvement in Georgia's civil strife, the secession of Abkhazia was viewed as both an opportunity to regain access to Black Sea resorts and ""revenge"" for Shevardnadze's role in the dissolution of the USSR.","To Russia's nationalists and military, who were thought to be behind the Russian involvement in Georgia's civil strife, the secession of Abkhazia was viewed as both an opportunity to regain access to Black Sea resorts and ""revenge"" for Shevardnadze's role in the dissolution of the USSR.",,
407,21,21,On 25 September 1992 Russia's Supreme Soviet denounced Georgia's resort to violence in the interethnic conflict with the separatists of Abkhazia.,"On 25 September 1992 Russia's Supreme Soviet (later, Duma) denounced Georgia's resort to violence in the interethnic conflict with the separatists of Abkhazia.",,
407,22,22,It also passed a resolution suspending the delivery of Russian arms and equipment to Georgia.,It also passed a resolution suspending the delivery of Russian arms and equipment to Georgia.,,
407,23,23,"This triggered a crisis for Georgia, reinforcing its image of Russia as the patron of the Abkhaz separatists.","This triggered a crisis for Georgia, reinforcing its image of Russia as the patron of the Abkhaz separatists.",,
407,24,24,Georgia accused Russia of interference in its domestic affairs.,Georgia accused Russia of interference in its domestic affairs.,,
407,25,25,"After a lull in the fighting, serious clashes between Georgia's forces and the Abkhazian rebels resumed on 2 October.","After a lull in the fighting, serious clashes between Georgia's forces and the Abkhazian rebels resumed on 2 October.",,
407,26,26,President Shevardnadze of Georgia blamed Russia for supplying arms to the separatists.,President Shevardnadze of Georgia blamed Russia for supplying arms to the separatists.,,
407,27,27,Russia denied any involvement.,Russia denied any involvement.,,
407,28,28,"But the next day President Boris Yeltsin warned that Russia would take ""appropriate measures"" if the lives of Russians in the conflict areas were threatened.","But the next day President Boris Yeltsin warned that Russia would take ""appropriate measures"" if the lives of Russians in the conflict areas were threatened.",,
407,29,29,Relations with Russia worsened when the Georgian State Council announced that Georgia would take control of all Russian weapons and military equipment on its territory.,Relations with Russia worsened when the Georgian State Council announced that Georgia would take control of all Russian weapons and military equipment on its territory.,,
407,30,30,"The Russian Defense Minister, Marshal Pavel Grachev, warned that such an act would lead to ""armed clashes.""","The Russian Defense Minister, Marshal Pavel Grachev, warned that such an act would lead to ""armed clashes.",,
407,31,31,Georgia actually seized a Russian arms depot in southern Georgia on 2 November; and Marshal Grachev warned that Russia was prepared to use force in order to regain control of the depot.,""" Georgia actually seized a Russian arms depot in southern Georgia on 2 November; and Marshal Grachev warned that Russia was prepared to use force in order to regain control of the depot.",,
407,32,32,"Tension between Tbilisi and Moscow increased when, on 6 November, Georgia accused Russia of bombing Georgian positions in Sukhumi, the Abkhaz capital, and on the 8th, when Russia accused Georgia of involvement in the murder of three Russian soldiers in Abkhazia.","Tension between Tbilisi and Moscow increased when, on 6 November, Georgia accused Russia of bombing Georgian positions in Sukhumi, the Abkhaz capital, and on the 8th, when Russia accused Georgia of involvement in the murder of three Russian soldiers in Abkhazia.",,
407,33,33,"In December 1992, after a Russian helicopter was shot down--it was delivering humanitarian aid to an Abkhazian town--Russia issued a protest and Defense Minister Grachev threatened again to take ""measures of a military nature.","In December 1992, after a Russian helicopter was shot down -- it was delivering humanitarian aid to an Abkhazian town -- Russia issued a protest and Defense Minister Grachev threatened again to take ""measures of a military nature.""The Georgian Prime Minister, Tengiz Signa, said on 17 December that there was a crisis in relations between Georgia and Russia, but not a state of war.",,
407,34,33,""" The Georgian Prime Minister, Tengiz Signa, said on 17 December that there was a crisis in relations between Georgia and Russia, but not a state of war.",,,
407,35,34,"Georgia's parliament demanded the withdrawal of Russian troops from Abkhazia: despite the Russian denials of involvement in the civil war, 46 Russian servicemen had been killed in Georgia in 1992.","Georgia's parliament demanded the withdrawal of Russian troops from Abkhazia: despite the Russian denials of involvement in the civil war, 46 Russian servicemen had been killed in Georgia in 1992.",,
407,36,35,"On 5 January 1993, Shevardnadze asked UN Secretary-General Boutros-Ghali to deploy a UN peacekeeping force to Abkhazia.","On 5 January 1993, Shevardnadze asked UN Secretary-General Boutros-Ghali to deploy a UN peacekeeping force to Abkhazia.",,
407,37,36,Shevardnadze also urged the UN to call on Georgia's neighbors to remain neutral in the conflict.,Shevardnadze also urged the UN to call on Georgia's neighbors to remain neutral in the conflict.,,
407,38,37,The next day a UN spokesperson said that time for UN intervention was not yet ripe.,The next day a UN spokesperson said that time for UN intervention was not yet ripe.,,
407,39,38,"However, a UN mission arrived in Tbilisi on 20 January to ascertain the need for emergency aid for victims of ethnic conflict in the republic.","However, a UN mission arrived in Tbilisi on 20 January to ascertain the need for emergency aid for victims of ethnic conflict in the republic.",,
407,40,39,"While fighting between Georgian forces and separatists continued, talks between Russia and Georgia were resumed in Tbilisi in January, with the goal of signing a friendship and cooperation accord between the two countries and to discuss the status of Russian troops in Georgia.","While fighting between Georgian forces and separatists continued, talks between Russia and Georgia were resumed in Tbilisi in January, with the goal of signing a friendship and cooperation accord between the two countries and to discuss the status of Russian troops in Georgia.",,
407,41,40,"A major attack by separatists on Sukhumi, then held by Georgian forces, on 14-17 March, was materially aided by Russia.","A major attack by separatists on Sukhumi, then held by Georgian forces, on 14-17 March, was materially aided by Russia.",,
407,42,41,Georgia's parliament declared that the attack proved that Russia was escalating its undeclared war against Georgia.,Georgia's parliament declared that the attack proved that Russia was escalating its undeclared war against Georgia.,,
407,43,42,Russia again denied any involvement in the conflict.,Russia again denied any involvement in the conflict.,,
407,44,43,"Yet, the bilateral talks continued, and a trade agreement was reached in March.","Yet, the bilateral talks continued, and a trade agreement was reached in March.",,
407,45,44,"In April, Eduard Brunner was appointed by the UN Secretary-General as his Special Representative to assist in efforts to solve the Abkhazia conflict.","In April, Eduard Brunner was appointed by the UN Secretary-General as his Special Representative to assist in efforts to solve the Abkhazia conflict.",,
407,46,45,Shevardnadze called for more active involvement by international organizations.,Shevardnadze called for more active involvement by international organizations.,,
407,47,46,Violence continued in Georgia throughout June.,Violence continued in Georgia throughout June.,,
407,48,47,"On 16-22 June the Russian foreign minister held talks in Moscow with Georgian and Abkhaz delegations, in search of a cease-fire.","On 16-22 June the Russian foreign minister held talks in Moscow with Georgian and Abkhaz delegations, in search of a cease-fire.",,
407,49,48,"As violence continued, Kozyrev threatened that ""all necessary measures"" would be taken against those responsible.","As violence continued, Kozyrev threatened that ""all necessary measures"" would be taken against those responsible.",,
407,50,49,Georgian Prime Minister Tengiz Segna demanded on 7 July that Russia end its undeclared war against Georgia and called for the severance of diplomatic relations with Russia; the call was rejected by Shevardnadze.,Georgian Prime Minister Tengiz Segna demanded on 7 July that Russia end its undeclared war against Georgia and called for the severance of diplomatic relations with Russia; the call was rejected by Shevardnadze.,,
407,51,50,"Finally, on 27 July 1993 a peace agreement, mediated by Russia, was signed by Georgia and the Abkhaz separatists.",,"Finally, on 27 July 1993 a peace agreement, mediated by Russia, was signed by Georgia and the Abkhaz separatists.",
407,52,51,"Russia agreed to send troops as neutral peacekeepers, and the parties agreed on the need for UN observers to monitor the cease-fire.",,"Russia agreed to send troops as neutral peacekeepers, and the parties agreed on the need for UN observers to monitor the cease-fire.",
407,53,52,This agreement led to a sharp decline in tension between Georgia and Russia.,,This agreement led to a sharp decline in tension between Georgia and Russia.,
407,54,53,Shevardnadze and Yeltsin met in August and said that they were satisfied with the first steps toward a final settlement of the conflict over the future of Abkhazia.,,Shevardnadze and Yeltsin met in August and said that they were satisfied with the first steps toward a final settlement of the conflict over the future of Abkhazia.,
407,55,54,On 25 August the UN Security Council approved the proposal to send 88 military observers to Georgia.,,On 25 August the UN Security Council approved the proposal to send 88 military observers to Georgia.,
407,56,55,"The next day Georgia's army reported that all of its heavy military equipment and some troops had been withdrawn from the front line, as agreed in July.",,"The next day Georgia's army reported that all of its heavy military equipment and some troops had been withdrawn from the front line, as agreed in July.",
407,57,56,"However, a surprise attack was launched on 16 September by Abkhaz separatists, and Sukhumi fell to the rebels after the major withdrawal of Georgian forces.",,"However, a surprise attack was launched on 16 September by Abkhaz separatists, and Sukhumi fell to the rebels after the major withdrawal of Georgian forces.",
407,58,57,"On the 27th Shevardnadze accused Russia of ""betrayal"" and, specifically, of refusal to honor its obligations under the July cease-fire agreement, to enforce peace by military force if necessary.",,"On the 27th Shevardnadze accused Russia of ""betrayal"" and, specifically, of refusal to honor its obligations under the July cease-fire agreement, to enforce peace by military force if necessary.",
